Product_Name,Product_Code,Unit_Price,Qty_in_Stock,Description
Canon imagePROGRAF GP series (graphics),CANON-IPF-GP-CG-SER,0,0,"Eleven-colour graphics line — GP-2000 (24 in.) and GP-4000 (44 in.) for computer graphics and poster applications. Confirm width on the quote. Collateral: Attachments."
Canon imageFORCE C3150,CANON-IF-C3150,0,0,"A3 colour laser multifunction — up to 50 ppm (A4 class); up to 4800 × 2400 dpi class output; very high-speed duplex scan (e.g. ~270 ipm class, 300 dpi, config-dependent); large optional paper to multi-thousand sheets. PDLS typically UFR II, PCL6, PostScript. Finisher, punch, and paper options on the quote line. Collateral: Attachments."
Canon imageFORCE C7165,CANON-IF-C7165,0,0,"A3 colour laser multifunction — up to 65–70 ppm (BW/CL, A4 / cassette-dependent); up to 4800 × 2400 dpi; 200-sheet single-pass DADF; high maximum paper; long-sheet and heavy media to ~300 gsm (tray dependent). D2 / marketing-quality positioning. Finishing and accessories on the quote. Collateral: Attachments."
Canon imageFORCE C1333 series,CANON-IF-C1333-SER,0,0,"Compact A4 colour laser line — e.g. C1333F (print/copy/scan, fax on applicable configs); up to 33 ppm; 1200 × 1200 dpi class; 5 in. touch UI; high-speed wired/wireless (regional). Confirm MFP vs print-only and trays on the quote. Collateral: Attachments."
Canon imageFORCE C5100 series,CANON-IF-C5100-SER,0,0,"AI-enabled A3 colour laser series — C5140 / C5150 / C5160 / C5170 (40–70 ppm A4 by model); 4800 × 2400 dpi class; 10.1 in. UI; 270 ipm class scan; optional imagePASS and extensive finishers (staple, saddle, fold, hole punch, etc., region/option). Pick engine tier and finisher on the quote. Collateral: Attachments."
Canon imageFORCE C611 series,CANON-IF-C611-SER,0,0,"A4 colour high-speed MFP series — to ~61 ppm (A4, model/region); up to 190 ipm class duplex scan; 10.1 in. panel; 256 GB SSD; large max paper. Optional wireless and finishers. Confirm exact model (e.g. C611 family) and options on the quote. Collateral: Attachments."
Canon imageRUNNER ADVANCE DX C478 series,CANON-IRDX-C478-SER,0,0,"A4 colour MFP line — up to 47 ppm; up to 190 ipm A4 scan; 10.1 in. colour touch panel; 256 GB SSD; TPM/encrypted storage positioning. C478i (base) vs C478iZ (internal finisher with staple/offset). Cloud (uniFLOW, Universal Print, etc.). Collateral: Attachments."
Canon imageRUNNER ADVANCE DX C3900 series,CANON-IRDX-C3900-SER,0,0,"A3 colour MFP series for hybrid work — C3922i / C3926i / C3930i / C3935i (22–35 ppm A4 by model); 270 ipm class scan with DADF; 10.1 in. panel; C-EXV 64 class toner. Optional Staple Finisher-AE1 and Booklet Finisher-AE1. Confirm model and finisher on the quote. Collateral: Attachments."
Canon imageRUNNER ADVANCE DX C3730i ES,CANON-IRDX-C3730-ES,0,0,"Remanufactured A3 colour MFP (ES) — up to 30 ppm A4 / 15 ppm A3; 1200 × 1200 dpi class; 10.1 in. panel; high reused-materials/sustainability story. Optional Inner Finisher-K1 ES and fax options. Security and mobile/cloud (regional). Collateral: Attachments."
Canon imageRUNNER ADVANCE DX C259/C359 series,CANON-IRDX-C259359-SER,0,0,"Compact A4 colour MFP line — e.g. C259i to ~25 ppm; C359i / C359P to ~35 ppm; up to 190 ipm A4 scan; 10.1 in. panel; 256 GB SSD. Multi-function vs print-only (C359P) where offered. Finisher and trays on the quote. Collateral: Attachments."
Canon imageRUNNER ADVANCE C5500 ES II series,CANON-IRAC55-ES2-SER,0,0,"Remanufactured A3 high-volume colour line (ES II) — e.g. C5540i ES+ II / C5560i ES+ II (40 / 60 ppm A4 class); 160 ipm class scan; 1200 × 1200 dpi; 320 GB HDD. ES sustainability positioning. Optional Inner/Booklet/Staple finisher (Y1 ES, etc., regional). Collateral: Attachments."
Canon imageRUNNER C3326i,CANON-IR-C3326I,0,0,"A3 colour laser multifunction — up to 26 ppm A4 / 20 ppm A4R / 15 ppm A3; 7 in. touch panel; 2 GB RAM; 64 GB eMMC (SSD optional); 1,200+ sheets to large max. Wide media range (e.g. 52–300 gsm in MP tray). UFR II, PCL6, optional PostScript. Finisher and DADF on the quote. Collateral: Attachments."
"Canon imageRUNNER ADVANCE DX 719/619/529 Series",CANON-IRDX-719619529-SER,0,0,"A4 monochrome laser MFP family (ADV DX) — quote 529i (~52 ppm A4), 619i (~61 ppm A4), or 719i (~71 ppm A4) per regional SKU. Typical themes: 10.1 in. class colour touch UI, high-speed duplex scan (DADF-dependent), cloud (e.g. uniFLOW Online Express / Universal Print where bundled), TPM-class device security. Confirm exact model letters, DADF, fax, and finisher on the quote line. Collateral: Attachments."
"Canon imageRUNNER ADVANCE DX 6980i",CANON-IRDX-6980I,0,0,"A3 monochrome laser MFP (ADV DX) — high-volume positioning (~80 ppm A4 class); large paper capacity and extensive finishing options (staple / booklet / punch etc., region- and option-dependent). 10.1 in. class UI; advanced security and fleet features. Confirm engine config, finishers, and paper decks on the quote. Collateral: Attachments."
"Canon imageRUNNER ADVANCE DX 4900 Series",CANON-IRDX-4900-SER,0,0,"A3 monochrome laser MFP series (ADV DX) — sustainable / productivity positioning; typically ~60–70 ppm A4 class depending on model (e.g. 6860i / 6870i family, market-specific). Smart scan and workflow features; optional finishers and high-capacity paper. Pick exact model and options on the quote line. Collateral: Attachments."
"Canon imageRUNNER ADVANCE DX 4800 Series",CANON-IRDX-4800-SER,0,0,"A3 monochrome laser MFP series (ADV DX) — models such as DX 4825i (~25 ppm A4), 4835i (~35 ppm), 4845i (~45 ppm); up to ~270 ipm A4 duplex scan (config-dependent); 10.1 in. colour touch panel; uniFLOW Online Express as standard where stated; TPM 2.0 / Verify System at Startup positioning. Optional staple and booklet finishers. Collateral: Attachments."
"Canon imageFORCE 1440 Series",CANON-IF-1440-SER,0,0,"A4 monochrome laser MFP (imageFORCE) — compact desktop/workgroup line; fast print and scan for essential office workflows; modern UI and connectivity (market-dependent). Typical speeds ~40 ppm A4 class on IF1440 variants. Confirm model (e.g. print vs fax), trays, and security bundle on the quote. Collateral: Attachments."
"Canon imageFORCE 1643 Series",CANON-IF-1643-SER,0,0,"A4 monochrome laser MFP (imageFORCE) — SMB/workgroup positioning; secure processing and reliability themes; speeds typically low- to mid-40 ppm A4 class depending on model. Confirm exact SKU, ADF/DADF, and trays on the quote. Collateral: Attachments."
"Canon imageFORCE 6100 Series",CANON-IF-6100-SER,0,0,"A3 monochrome laser MFP (imageFORCE) — flexible print/scan for changing workgroups; mid- to high-speed tiering by model (confirm regional model list). Optional finishers and high paper capacity. Pick engine model and accessories on the quote line. Collateral: Attachments."
"Canon imageFORCE 710 Series",CANON-IF-710-SER,0,0,"A4 monochrome laser MFP (imageFORCE) — high productivity for busy offices and large workgroups; feature-rich UI and security positioning. Confirm speed tier, scan configuration, and finishers on the quote. Collateral: Attachments."
"Canon imageFORCE 8100 Series",CANON-IF-8100-SER,0,0,"A3 monochrome laser MFP (imageFORCE) — very high speed line; Canon cites ~86–105 ppm (A4) depending on model for heavy departmental/production-style mono workloads. Extensive finishing and paper options (region-dependent). Confirm model (e.g. IF8105 vs IF8195 class) and finisher stack on the quote. Collateral: Attachments."
"Canon imageRUNNER 2900 Series",CANON-IR-2900-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — successor positioning to prior 2700-class A3 mono line; enhanced security and reliability; speeds typically ~25–45 ppm A4 depending on model (e.g. 2925 / 2930 / 2945 family — confirm regional names). 7 in. or larger touch UI (model-dependent). Optional inner/staple finishers. Collateral: Attachments."
"Canon imageRUNNER 2700 Series",CANON-IR-2700-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — models such as 2725i (~25 ppm A4), 2730i (~30 ppm), 2745i (~45 ppm); ~7 in. colour touchscreen; up to ~70 ipm scan (config-dependent); Wi‑Fi/mobile/cloud connectivity themes; optional inner finisher and staple. Collateral: Attachments."
"Canon imageRUNNER 2425 Series",CANON-IR-2425-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — smart secure A3 mono with cloud connectivity; ~25 ppm A4 class; workflow and security features for general office. Confirm DADF/finisher and fax options on the quote. Collateral: Attachments."
"Canon imageRUNNER 2425 II Series",CANON-IR-2425II-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — Gen II refresh; up to ~25 ppm A4; class-leading scan speeds up to ~70 ipm (DADF, config-dependent); 7 in. colour touchscreen; advanced security (Verify System at Startup, SIEM support, etc., per Canon datasheet). Optional finishers. Collateral: Attachments."
"Canon imageRUNNER 2224 Series",CANON-IR-2224-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — cost-effective ~24 ppm A4 class line; print / copy / scan / send (and fax on selected models); compact footprint for office environments. Confirm 2224 vs 2224i/2224N variants and options on the quote. Collateral: Attachments."
"Canon imageRUNNER 2224 II Series",CANON-IR-2224II-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — Gen II refresh of the 2224 family; improved productivity and security positioning vs prior generation; ~24 ppm A4 class (confirm exact model suffixes in your region). Finishing and ADF options on the quote line. Collateral: Attachments."
"Canon imageRUNNER 1643 II Series",CANON-IR-1643II-SER,0,0,"A4 monochrome laser MFP (imageRUNNER) — efficient desktop/workgroup line with very fast print and scan; advanced connectivity; typically low- to mid-40 ppm A4 class. Confirm 1643i II vs 1643iF II (fax) and trays on the quote. Collateral: Attachments."
